"288","Budapest","Hungary","1775207","1771865","0.0019"
"289","Gaziantep","Turkey","1773495","1739687","0.0194"
"290","Montevideo","Uruguay","1767243","1759906","0.0042"
"291","Meerut","India","1762162","1728435","0.0195"
"292","Raipur","India","1760411","1702048","0.0343"
"293","Lyon","France","1747575","1733581","0.0081"
"294","Jiangmen","China","1740196","1713021","0.0159"
"295","Mosul","Iraq","1737101","1683029","0.0321"
"296","Cixi","China","1732743","1672457","0.0360"
"297","La Laguna","Mexico","1729825","1674258","0.0332"
"298","Varanasi","India","1722259","1692509","0.0176"
"299","Xiangyang","China","1713433","1684991","0.0169"
"300","Shiraz","Iran","1698584","1675226","0.0139"
"301","Glasgow","United Kingdom","1688907","1680669","0.0049"
"302","Novosibirsk","Russia","1686236","1675866","0.0062"
"303","Batam","Indonesia","1684932","1617168","0.0419"
"304","Stockholm","Sweden","1679050","1656571","0.0136"
"305","Yinchuan","China","1672688","1626584","0.0283"
"306","Anshan","China","1667187","1647001","0.0123"
"307","Jamshedpur","India","1661439","1629621","0.0195"
"308","Yichang","China","1660148","1605526","0.0340"
"309","Srinagar","India","1659935","1622454","0.0231"
"310","Auckland","New Zealand","1652341","1630092","0.0136"
"311","Jilin","China","1645140","1623240","0.0135"
"312","Ulaanbaatar","Mongolia","1644544","1615094","0.0182"
"313","Tabriz","Iran","1643960","1627304","0.0102"
"314","Makassar","Indonesia","1642129","1612249","0.0185"
"315","Aurangabad","India","1641602","1599927","0.0260"
"316","Phoenix","United States","1640641","1624390","0.01000"
"317","Qinhuangdao","China","1634829","1585961","0.0308"
"318","Xining","China","1625782","1583164","0.0269"
"319","Muscat","Oman","1622620","1589865","0.0206"
"320","Monrovia","Liberia","1622582","1569013","0.0341"
"321","Marseille","France","1620227","1613797","0.0040"
"322","Tiruppur","India","1619469","1558993","0.0388"
"323","Philadelphia","United States","1619355","1611576","0.00483"
"324","Hengyang","China","1618900","1573731","0.0287"
"325","Calgary","Canada","1611475","1580659","0.0195"
"326","Qiqihaer","China","1609057","1583663","0.0160"
"327","Cordoba","Argentina","1597844","1584599","0.0084"
"328","Suqian","China","1595867","1520240","0.0497"
"329","Kananga","DR Congo","1592924","1524234","0.0451"
"330","Karaj","Iran","1586825","1582351","0.0028"
"331","Anyang","China","1585812","1524622","0.0401"
"332","Rosario","Argentina","1574235","1553530","0.0133"
"333","Daejon","South Korea","1573369","1569459","0.0025"
"334","Munich","Germany","1566128","1553373","0.0082"
"335","Ciudad Juarez","Mexico","1560821","1539758","0.0137"
"336","Harare","Zimbabwe","1557740","1541824","0.0103"
"337","Onitsha","Nigeria","1552630","1482971","0.0470"
"338","Jodhpur","India","1548048","1509826","0.0253"
"339","Gaoxiong","Taiwan","1547094","1541861","0.0034"
"340","Medina","Saudi Arabia","1545420","1517501","0.0184"
"341","Jining Shandong","China","1543534","1518329","0.0166"
"342","Abu Dhabi","United Arab Emirates","1539830","1511768","0.0186"
"343","N-Djamena","Chad","1532588","1476115","0.0383"
"344","Tegucigalpa","Honduras","1526660","1485300","0.0278"
"345","Gwangju","South Korea","1526457","1523822","0.0017"
"346","Yekaterinburg","Russia","1521136","1513142","0.0053"
"347","Kathmandu","Nepal","1521057","1471867","0.0334"
"348","Edmonton","Canada","1518921","1491076","0.0187"
"349","Natal","Brazil","1511614","1485363","0.0177"
"350","Grande Sao Luis","Brazil","1511102","1498475","0.0084"
"351","Ranchi","India","1510765","1474748","0.0244"
"352","Zhangjiakou","China","1502958","1468954","0.0231"
"353","Mandalay","Myanmar","1500625","1469193","0.0214"
"354","Jabalpur","India","1495679","1471644","0.0163"
"355","Huainan","China","1486964","1461918","0.0171"
"356","Asansol","India","1478266","1453747","0.0169"
"357","Kota","India","1474243","1430870","0.0303"
"358","Chaozhou","China","1472558","1449830","0.0157"
"359","San Antonio","United States","1456069","1445347","0.00742"
"360","Gwalior","India","1442015","1409820","0.0228"
"361","San Jose","Costa Rica","1441324","1420533","0.0146"
"362","Allahabad","India","1439202","1415463","0.0168"
"363","Yiwu","China","1436780","1386791","0.0360"
"364","Chon Buri","Thailand","1435745","1417247","0.0131"
"365","Nouakchott","Mauritania","1431539","1372244","0.0432"
"366","Amritsar","India","1425040","1400311","0.0177"
"367","Kharkiv","Ukraine","1423343","1425987","-0.0019"
"368","Ottawa","Canada","1422635","1407928","0.0104"
"369","Zurich","Switzerland","1419621","1407572","0.0086"
"370","Taizhou Jiangsu","China","1414649","1381569","0.0239"
"371","Basra","Iraq","1413646","1381731","0.0231"
"372","Joao Pessoa","Brazil","1407889","1393345","0.0104"
"373","Ganzhou","China","1405736","1347065","0.0436"
"374","Belgrade","Serbia","1405192","1401786","0.0024"
"375","San Diego","United States","1402838","1394885","0.00570"
"376","Homs","Syria","1397632","1362480","0.0258"
"377","Taian Shandong","China","1390010","1364154","0.0190"
"378","Weihai","China","1389782","1347865","0.0311"
"379","Queretaro","Mexico","1389302","1364446","0.0182"
"380","Mombasa","Kenya","1388979","1340913","0.0358"
"381","Niamey","Niger","1383909","1335700","0.0361"
"382","Konya","Turkey","1383000","1356280","0.0197"
"383","Hai Phong","Vietnam","1382031","1341015","0.0306"
"384","Jiaxing","China","1373885","1318418","0.0421"
"385","Copenhagen","Denmark","1370131","1358608","0.0085"
"386","Cochabamba","Bolivia","1368920","1336752","0.0241"
"387","Dhanbad","India","1367686","1348238","0.0144"
"388","Kisangani","DR Congo","1366342","1312353","0.0411"
"389","Bucaramanga","Colombia","1365580","1348882","0.0124"
"390","Kaifeng","China","1359105","1317530","0.0316"
"391","Adelaide","Australia","1355522","1345445","0.0075"
"392","Taizhong","Taiwan","1354431","1338086","0.0122"
"393","Rizhao","China","1353165","1312824","0.0307"
"394","Maceio","Brazil","1350505","1336999","0.0101"
"395","Suweon","South Korea","1349905","1331826","0.0136"
"396","Dongying","China","1346126","1311494","0.0264"
"397","Zunyi","China","1345424","1313433","0.0244"
"398","Zhanjiang","China","1343882","1315369","0.0217"
"399","Samut Prakan","Thailand","1341605","1324319","0.0131"
"400","Nanchong","China","1339649","1299462","0.0309"
"401","Joinville","Brazil","1334194","1319042","0.0115"
"402","Qom","Iran","1333404","1311172","0.0170"
"403","Helsinki","Finland","1327762","1316757","0.0084"
"404","Mianyang Sichuan","China","1326012","1300725","0.0194"
"405","Dallas","United States","1325691","1315035","0.00810"
"406","Liuan","China","1322063","1260817","0.0486"
"407","Porto","Portugal","1320347","1316445","0.0030"
"408","Antalya","Turkey","1318826","1287439","0.0244"
"409","Shiyan","China","1318236","1280495","0.0295"
"410","Prague","Czech Republic","1318085","1312199","0.0045"
"411","Bareilly","India","1317085","1285964","0.0242"
"412","Liuyang","China","1310870","1242055","0.0554"
"413","Ad-Dammam","Saudi Arabia","1304688","1279092","0.0200"
"414","Fushun Liaoning","China","1294781","1288357","0.0050"
"415","Pointe-Noire","Republic of the Congo","1294612","1253939","0.0324"
"416","Yingkou","China","1288451","1251867","0.0292"
"417","Sofia","Bulgaria","1286789","1284311","0.0019"
"418","Kazan","Russia","1286418","1279794","0.0052"
"419","Tengzhou","China","1281380","1236764","0.0361"
"420","Port Elizabeth","South Africa","1280550","1266533","0.0111"
"421","Aligarh","India","1278555","1244591","0.0273"
"422","Ahvaz","Iran","1277613","1261042","0.0131"
"423","Florianopolis","Brazil","1277547","1259112","0.0146"
"424","Tanger","Morocco","1277242","1238322","0.0314"
"425","Freetown","Sierra Leone","1272145","1236425","0.0289"
"426","Maoming","China","1272048","1238809","0.0268"
"427","Pekan Baru","Indonesia","1271197","1238274","0.0266"
"428","Fes","Morocco","1267317","1245303","0.0177"
"429","Moradabad","India","1267139","1232190","0.0284"
"430","Suzhou","China","1266746","1219579","0.0387"
